Species	Avg_ANI	Peaks	Valleys_range	Group
Species_2	97.720177133716	95.4, 96.5	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_3	98.0469331371996	0	-	Group 3
Species_5	98.4477386892178	98.8	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_8	99.5327732836168	98.7	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_9	98.2686928853083	96.5, 97.6, 98.8	99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_10	97.0080727658187	95.5	98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6	Group 1
Species_12	99.8447629186449	98.8	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 2
Species_15	97.7934987237798	97.6, 98.6	99.1, 99.2, 99.3, 99.4, 99.5, 99.6	Group 1
Species_19	99.8418666787659	99	99.2, 99.3, 99.4, 99.5, 99.6	Group 2
Species_20	96.8091228525641	95.7	99.1, 99.2, 99.3, 99.4, 99.5, 99.6, 99.7	Group 1
Species_24	99.44339717605	95.7, 98.8	99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6	Group 1
Species_25	98.0032147931304	95.4, 96.4	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_33	99.7695988798108	98.8	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_39	96.4005674757282	95.3	97.9, 98, 98.1, 98.2, 98.3, 98.4, 98.5, 98.6, 98.7, 98.8, 98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6, 99.7, 99.8, 99.9, 100	Group 1
Species_43	98.2847157424913	95.4	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_45	95.5920442417217	95.4	96.5, 96.6, 96.7, 96.8, 96.9, 97, 97.1, 97.2, 97.3, 97.4, 97.5, 97.6, 97.7, 97.8, 97.9, 98, 98.1, 98.2, 98.3, 98.4, 98.5, 98.6, 98.7, 98.8, 98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6, 99.7, 99.8, 99.9, 100	Group 1
Species_49	97.3726607207207	97.5	98.7, 98.8, 98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6, 99.7	Group 1
Species_51	98.1351397919376	95.4	98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_54	96.8041962962963	97	98, 98.1, 98.2, 98.3, 98.4, 98.5, 98.6, 98.7, 98.8, 98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_56	98.1825413518887	96.4, 98.7	99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_57	97.3996618892508		98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6	Group 1
Species_59	96.8011336541542	95.5, 96.4	98, 98.1, 98.2, 98.3, 98.4, 98.5, 98.6, 98.7, 98.8, 98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6	Group 1
Species_62	98.4412318028894	96.7, 97.7, 98.8	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_64	98.7792707449192	98.6	99.3, 99.4, 99.5, 99.6	Group 1
Species_79	98.4605221006224	98.8	99.4, 99.5, 99.6, 99.7, 99.8, 99.9, 100	Group 1
Species_81	96.2878376886792	0	97.9, 98, 98.1, 98.2, 98.3, 98.4, 98.5, 98.6, 98.7, 98.8, 98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5, 99.6, 99.7, 99.8, 99.9, 100	Group 1
Species_92	98.6086139459045	96.5, 97.6, 98.8	99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 1
Species_93	99.9938363584333		98.5, 98.6, 98.7, 98.8, 98.9, 99, 99.1, 99.2, 99.3, 99.4, 99.5	Group 2
Species_96	98.1937545751634	96.5, 98.8	99.2, 99.3, 99.4, 99.5	Group 1
